"Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName"
"0	4	60	5	2	0	2304	30336	8529	0.281151	0.014967	TS	SVS-method	0	DFA_R60_5.fsm"
"0	4	60	5	2	0	1793	18463	4682	0.253588	0.008456	TS	W-method	1	DFA_R60_5.fsm"
"0	4	60	5	2	0	2047	19970	3852	0.192889	0.007824	TS	W-methodST	2	DFA_R60_5.fsm"
"0	4	60	5	2	0	1640	14459	3117	0.215575	0.005915	TS	Wp-method	3	DFA_R60_5.fsm"
"0	4	60	5	2	0	1404	12359	2789	0.225666	0.006062	TS	Wp-methodST	4	DFA_R60_5.fsm"
"0	4	60	5	2	0	1107	11108	2132	0.191934	0.002520	TS	HSI-method	5	DFA_R60_5.fsm"
"0	4	60	5	2	0	414	6429	4035	0.627625	0.004287	TS	HSI-methodST	6	DFA_R60_5.fsm"
"0	4	60	5	2	0	800	9918	3165	0.319117	0.003545	TS	H-method	7	DFA_R60_5.fsm"
"0	4	60	5	2	0	634	8346	3631	0.435059	0.002890	TS	SPY-method	8	DFA_R60_5.fsm"
"0	4	60	5	2	0	414	6429	4035	0.627625	0.004235	TS	SPY-methodST	9	DFA_R60_5.fsm"
"0	4	60	5	2	0	436	6388	3073	0.481058	0.005160	TS	SPYH-method	10	DFA_R60_5.fsm"
"0	4	60	5	2	0	208	5146	3831	0.744462	0.047567	TS	S-method	11	DFA_R60_5.fsm"
"0	4	60	5	2	1	11558	175126	42651	0.243545	0.041092	TS	SVS-method	0	DFA_R60_5.fsm"
"0	4	60	5	2	1	8976	110326	23433	0.212398	0.026086	TS	W-method	1	DFA_R60_5.fsm"
"0	4	60	5	2	1	10241	120336	19276	0.160185	0.024500	TS	W-methodST	2	DFA_R60_5.fsm"
"0	4	60	5	2	1	8216	88777	15527	0.174899	0.019101	TS	Wp-method	3	DFA_R60_5.fsm"
"0	4	60	5	2	1	6990	75303	13845	0.183857	0.016651	TS	Wp-methodST	4	DFA_R60_5.fsm"
"0	4	60	5	2	1	5479	65822	10508	0.159643	0.011314	TS	HSI-method	5	DFA_R60_5.fsm"
"0	4	60	5	2	1	2060	36196	20206	0.558238	0.009537	TS	HSI-methodST	6	DFA_R60_5.fsm"
"0	4	60	5	2	1	3011	44923	13899	0.309396	0.013177	TS	H-method	7	DFA_R60_5.fsm"
"0	4	60	5	2	1	2650	44146	19749	0.447356	0.017448	TS	SPY-method	8	DFA_R60_5.fsm"
"0	4	60	5	2	1	2060	36196	20206	0.558238	0.009395	TS	SPY-methodST	9	DFA_R60_5.fsm"
"0	4	60	5	2	1	1753	31405	14017	0.446330	0.038014	TS	SPYH-method	10	DFA_R60_5.fsm"
"0	4	60	5	2	1	976	27728	19855	0.716063	0.408508	TS	S-method	11	DFA_R60_5.fsm"
"0	4	60	5	2	2	57834	991782	213333	0.215101	0.189991	TS	SVS-method	0	DFA_R60_5.fsm"
"0	4	60	5	2	2	44885	641405	117182	0.182696	0.133790	TS	W-method	1	DFA_R60_5.fsm"
"0	4	60	5	2	2	51211	704106	96396	0.136906	0.126473	TS	W-methodST	2	DFA_R60_5.fsm"
"0	4	60	5	2	2	41136	526639	77685	0.147511	0.105278	TS	Wp-method	3	DFA_R60_5.fsm"
"0	4	60	5	2	2	35004	446618	69227	0.155003	0.085994	TS	Wp-methodST	4	DFA_R60_5.fsm"
"0	4	60	5	2	2	27434	384528	52543	0.136643	0.072028	TS	HSI-method	5	DFA_R60_5.fsm"
"0	4	60	5	2	2	10309	201705	101111	0.501282	0.044881	TS	HSI-methodST	6	DFA_R60_5.fsm"
"0	4	60	5	2	2	13342	234970	69709	0.296672	0.071865	TS	H-method	7	DFA_R60_5.fsm"
"0	4	60	5	2	2	12180	239932	105177	0.438362	0.188684	TS	SPY-method	8	DFA_R60_5.fsm"
"0	4	60	5	2	2	10309	201705	101111	0.501282	0.045134	TS	SPY-methodST	9	DFA_R60_5.fsm"
