"Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName"
"0	2	70	5	5	0	1514	8215	2413	0.293731	0.008324	TS	SVS-method	0	Mealy_R70_5.fsm"
"0	2	70	5	5	0	1405	7156	2036	0.284516	0.003292	TS	W-method	1	Mealy_R70_5.fsm"
"0	2	70	5	5	0	1405	7156	2036	0.284516	0.003511	TS	W-methodST	2	Mealy_R70_5.fsm"
"0	2	70	5	5	0	865	4239	1219	0.287568	0.003399	TS	Wp-method	3	Mealy_R70_5.fsm"
"0	2	70	5	5	0	851	4176	1205	0.288554	0.003438	TS	Wp-methodST	4	Mealy_R70_5.fsm"
"0	2	70	5	5	0	976	4793	1330	0.277488	0.001442	TS	HSI-method	5	Mealy_R70_5.fsm"
"0	2	70	5	5	0	307	2171	1309	0.602948	0.002311	TS	HSI-methodST	6	Mealy_R70_5.fsm"
"0	2	70	5	5	0	508	2989	1296	0.433590	0.002053	TS	H-method	7	Mealy_R70_5.fsm"
"0	2	70	5	5	0	531	3156	1476	0.467681	0.001694	TS	SPY-method	8	Mealy_R70_5.fsm"
"0	2	70	5	5	0	307	2171	1309	0.602948	0.002267	TS	SPY-methodST	9	Mealy_R70_5.fsm"
"0	2	70	5	5	0	404	2534	1304	0.514601	0.003748	TS	SPYH-method	10	Mealy_R70_5.fsm"
"0	2	70	5	5	0	129	1937	1653	0.853382	0.057153	TS	S-method	11	Mealy_R70_5.fsm"
"0	2	70	5	5	1	7575	48651	12056	0.247806	0.019934	TS	SVS-method	0	Mealy_R70_5.fsm"
"0	2	70	5	5	1	7025	42805	10185	0.237939	0.009769	TS	W-method	1	Mealy_R70_5.fsm"
"0	2	70	5	5	1	7025	42805	10185	0.237939	0.009105	TS	W-methodST	2	Mealy_R70_5.fsm"
"0	2	70	5	5	1	4325	25502	6103	0.239315	0.007351	TS	Wp-method	3	Mealy_R70_5.fsm"
"0	2	70	5	5	1	4279	25232	6057	0.240052	0.006953	TS	Wp-methodST	4	Mealy_R70_5.fsm"
"0	2	70	5	5	1	4899	28910	6677	0.230958	0.005592	TS	HSI-method	5	Mealy_R70_5.fsm"
"0	2	70	5	5	1	1523	12273	6517	0.531003	0.004457	TS	HSI-methodST	6	Mealy_R70_5.fsm"
"0	2	70	5	5	1	2299	16402	6416	0.391172	0.008051	TS	H-method	7	Mealy_R70_5.fsm"
"0	2	70	5	5	1	2235	17091	7990	0.467498	0.009668	TS	SPY-method	8	Mealy_R70_5.fsm"
"0	2	70	5	5	1	1523	12273	6517	0.531003	0.004292	TS	SPY-methodST	9	Mealy_R70_5.fsm"
"0	2	70	5	5	1	1741	13596	6423	0.472418	0.041695	TS	SPYH-method	10	Mealy_R70_5.fsm"
"0	2	70	5	5	1	640	10970	8946	0.815497	0.477174	TS	S-method	11	Mealy_R70_5.fsm"
"0	2	70	5	5	2	37893	281314	60310	0.214387	0.085490	TS	SVS-method	0	Mealy_R70_5.fsm"
"0	2	70	5	5	2	35125	249150	50930	0.204415	0.046336	TS	W-method	1	Mealy_R70_5.fsm"
"0	2	70	5	5	2	35125	249150	50930	0.204415	0.043462	TS	W-methodST	2	Mealy_R70_5.fsm"
"0	2	70	5	5	2	21694	149666	30599	0.204449	0.030855	TS	Wp-method	3	Mealy_R70_5.fsm"
"0	2	70	5	5	2	21470	148128	30375	0.205059	0.029466	TS	Wp-methodST	4	Mealy_R70_5.fsm"
